
2024/12/04 (18:34:23) | ===> btop++ v.1.3.2
2024/12/04 (18:34:23) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/12/04 (18:34:23) | ERROR: Couldn't determine terminal size of "/dev/tty"!

2024/12/12 (21:40:03) | ===> btop++ v.1.4.0
2024/12/12 (21:40:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (17:52:15) | ===> btop++ v.1.4.0
2024/12/13 (17:52:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/17 (18:46:27) | ===> btop++ v.1.4.0
2024/12/17 (18:46:27) | WARNING: Intel GPU: Failed to initialize PMU
2024/12/17 (18:47:06) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/12/17 (18:47:06) | ERROR: Couldn't determine terminal size of "/dev/tty"!

2024/12/17 (20:39:48) | ===> btop++ v.1.4.0
2024/12/17 (20:39:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/19 (08:15:19) | ===> btop++ v.1.4.0
2024/12/19 (08:15:19) | WARNING: Intel GPU: Failed to initialize PMU
2024/12/21 (20:18:58) | ERROR: Stall in Runner thread, restarting!
2024/12/22 (18:30:43) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/12/22 (18:30:43) | ERROR: Couldn't determine terminal size of "/dev/tty"!

2025/01/05 (13:06:44) | ===> btop++ v.1.4.0
2025/01/05 (13:06:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/13 (15:09:13) | ===> btop++ v.1.4.0
2025/01/13 (15:09:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/07 (16:21:19) | ===> btop++ v.1.4.0
2025/02/07 (16:21:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (11:22:25) | ===> btop++ v.1.4.0
2025/02/11 (11:22:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (15:30:57) | ===> btop++ v.1.4.0
2025/02/11 (15:30:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (18:41:27) | ===> btop++ v.1.4.0
2025/03/17 (18:41:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/25 (10:36:00) | ===> btop++ v.1.4.0
2025/04/25 (10:36:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/13 (10:59:35) | ===> btop++ v.1.4.0
2025/05/13 (10:59:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/15 (13:48:47) | ===> btop++ v.1.4.0
2025/05/15 (13:48:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/19 (19:39:29) | ===> btop++ v.1.4.0
2025/05/19 (19:39:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/26 (21:10:04) | ===> btop++ v.1.4.0
2025/05/26 (21:10:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/24 (11:09:37) | ===> btop++ v.1.4.0
2025/06/24 (11:09:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/24 (19:22:03) | ===> btop++ v.1.4.0
2025/06/24 (19:22:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/24 (19:43:38) | ===> btop++ v.1.4.0
2025/06/24 (19:43:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/25 (13:45:42) | ===> btop++ v.1.4.0
2025/06/25 (13:45:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/26 (14:17:26) | ===> btop++ v.1.4.0
2025/06/26 (14:17:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/27 (17:14:10) | ===> btop++ v.1.4.0
2025/06/27 (17:14:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/02 (19:45:36) | ===> btop++ v.1.4.0
2025/07/02 (19:45:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/02 (19:46:29) | ===> btop++ v.1.4.0
2025/07/02 (19:46:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/02 (19:47:10) | ===> btop++ v.1.4.0
2025/07/02 (19:47:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/02 (19:50:12) | ===> btop++ v.1.4.0
2025/07/02 (19:50:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/02 (19:51:48) | ===> btop++ v.1.4.0
2025/07/02 (19:51:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/07 (17:11:02) | ===> btop++ v.1.4.0
2025/07/07 (17:11:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/24 (04:59:24) | ===> btop++ v.1.4.0
2025/07/24 (04:59:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/24 (10:41:48) | ===> btop++ v.1.4.0
2025/07/24 (10:41:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/24 (15:20:39) | ===> btop++ v.1.4.0
2025/07/24 (15:20:39) | WARNING: Intel GPU: Failed to initialize PMU
